plate_x,plate_z,inning,outs_when_up,inning_topbot,pitch_number,at_bat_number,bat_score,fld_score,pitch_type,balls,strikes,stand,p_throws
-0.69,2.83,9,2,Top,4,61,0,5,FF,1,2,R,L
-0.71,2.62,9,2,Top,3,61,0,5,SL,1,1,R,L
-0.04,2.46,9,2,Top,2,61,0,5,CU,1,0,R,L
2.1,3.89,9,2,Top,1,61,0,5,CU,0,0,R,L
-0.31,2.8,9,1,Top,2,60,0,5,FF,1,0,L,L
-1.04,3.58,9,1,Top,1,60,0,5,FF,0,0,L,L
-0.69,0.83,9,0,Top,3,59,0,5,SL,0,2,L,L
0.12,1.99,9,0,Top,2,59,0,5,SL,0,1,L,L
-0.72,2.77,9,0,Top,1,59,0,5,FF,0,0,L,L
-0.26,1.78,8,2,Bot,3,58,5,0,SI,0,2,R,R
-0.93,1.55,8,2,Bot,2,58,5,0,SI,0,1,R,R
-0.02,1.64,8,2,Bot,1,58,5,0,SI,0,0,R,R
0.98,1.12,8,1,Bot,6,57,5,0,SL,0,2,R,R
-0.53,1.6,8,1,Bot,5,57,5,0,SI,0,2,R,R
0.21,1.95,8,1,Bot,4,57,5,0,SL,0,2,R,R
-0.87,1.55,8,1,Bot,3,57,5,0,SI,0,2,R,R
-1.5,1.98,8,1,Bot,2,57,5,0,SI,0,1,R,R
1.63,1.92,8,1,Bot,1,57,5,0,SL,0,0,R,R
0.01,2.23,8,0,Bot,4,56,5,0,SL,1,2,L,R
-1.61,4.07,8,0,Bot,3,56,5,0,FF,0,2,L,R
-0.92,2.61,8,0,Bot,2,56,5,0,CU,0,1,L,R
-0.68,2.42,8,0,Bot,1,56,5,0,SI,0,0,L,R
-0.36,1.26,8,2,Top,5,55,0,5,CH,1,2,L,R
-1.18,1.25,8,2,Top,4,55,0,5,SL,1,2,L,R
-0.37,2.75,8,2,Top,3,55,0,5,FF,1,1,L,R
-0.25,0.7,8,2,Top,2,55,0,5,CH,0,1,L,R
0.46,1.72,8,2,Top,1,55,0,5,FC,0,0,L,R
-0.1,1.94,8,1,Top,1,54,0,5,FF,0,0,R,R
0.67,2.62,8,0,Top,2,53,0,5,FC,1,0,L,R
1.57,0.16,8,0,Top,1,53,0,5,FC,0,0,L,R
0.91,2.5,7,2,Bot,3,52,5,0,FF,0,2,R,R
1.15,2.83,7,2,Bot,2,52,5,0,SL,0,1,R,R
0.31,2.02,7,2,Bot,1,52,5,0,FF,0,0,R,R
0.34,3.22,7,1,Bot,5,51,5,0,FF,2,2,R,R
0.81,1.75,7,1,Bot,4,51,5,0,SL,2,1,R,R
0.77,1.38,7,1,Bot,3,51,5,0,FF,1,1,R,R
1.13,3.48,7,1,Bot,2,51,5,0,FF,0,1,R,R
0.13,2.34,7,1,Bot,1,51,5,0,SL,0,0,R,R
0.16,2.3,7,0,Bot,2,50,5,0,FF,1,0,L,R
-0.39,1.3,7,0,Bot,1,50,5,0,FF,0,0,L,R
-0.02,2.01,7,2,Top,2,49,0,5,FC,0,1,L,R
